;
1.3. Décès par cause,  - dont Sida et VIH,  - Taux de mortalité pour 100 000 personnes;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800257;
;
;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;;
;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;;
;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;;
D90 Territoire de Belfort;0,0;0,7;1,4;0,7;0,0;0,7;0,7;0,7;0,7;0,7;0,0;0,0;0,7;;
D91 Essonne;2,3;2,7;2,1;2,0;1,4;1,2;2,3;2,2;1,6;1,0;0,9;1,1;0,7;;
D92 Hauts-de-Seine;2,8;3,2;2,6;2,6;3,3;2,6;2,1;2,0;1,4;1,8;1,1;1,1;0,9;;
D93 Seine-Saint-Denis;3,9;4,5;4,3;4,9;4,0;3,7;3,1;3,2;3,2;2,1;2,4;1,6;1,6;;
D94 Val-de-Marne;3,2;2,8;3,0;3,0;3,4;2,6;2,6;2,6;1,1;1,2;1,2;1,3;1,4;;
D95 Val-d'Oise;2,4;2,5;2,5;1,9;2,4;1,9;2,6;1,7;1,3;0,9;1,0;1,3;1,3;;
D9A Guadeloupe;7,0;10,8;6,4;8,4;6,5;7,3;8,0;6,2;4,2;4,5;3,5;2,7;3,5;;
D9B Martinique;4,7;7,5;5,7;3,8;6,6;3,5;3,0;2,8;2,5;2,0;2,3;1,8;2,1;;
D9C Guyane;0,0;20,2;20,4;21,1;17,6;19,6;12,6;10,8;8,2;9,8;7,0;6,3;5,8;;
D9D Réunion;1,1;1,4;0,7;0,8;0,4;0,9;1,0;0,8;0,7;0,5;0,2;0,6;0,2;;
D9F Mayotte; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R11 Ile-de-France;3,5;3,4;2,8;3,2;3,2;2,5;2,5;2,3;1,9;1,4;1,5;1,1;1,3;;
R21 Champagne-Ardenne;0,6;0,7;0,7;0,4;1,1;0,8;0,6;0,7;0,7;0,5;0,3;0,4;0,3;;
R22 Picardie;1,0;0,9;0,4;1,4;0,6;0,5;0,9;0,3;0,5;0,6;0,2;0,4;0,4;;
R23 Haute-Normandie;1,3;1,1;1,1;0,8;0,7;0,6;1,3;1,1;0,7;0,6;0,5;0,3;0,4;;
R24 Centre;0,9;1,4;1,6;1,2;1,0;0,7;0,9;0,8;0,5;0,6;0,8;0,6;0,5;;
R25 Basse-Normandie;0,2;0,8;1,0;0,3;0,8;0,9;0,6;0,3;0,5;0,3;0,5;0,2;0,3;;
R26 Bourgogne;1,1;1,1;0,6;1,0;0,8;0,9;0,6;0,7;0,5;0,5;0,5;0,5;0,4;;
R31 Nord-Pas-de-Calais;0,4;0,5;0,5;0,5;0,3;0,4;0,4;0,3;0,4;0,3;0,2;0,1;0,3;;
R41 Lorraine;0,5;0,6;0,6;0,4;0,6;0,7;0,6;0,4;0,6;0,3;0,3;0,3;0,2;;
R42 Alsace;0,9;0,9;0,7;1,3;0,9;0,3;0,6;0,8;0,4;0,4;0,5;0,4;0,3;;
R43 Franche-Comté;0,4;0,2;0,4;0,8;0,6;0,6;0,3;0,4;0,2;0,2;0,3;0,3;0,5;;
R52 Pays de la Loire;1,0;0,8;1,0;0,6;0,8;0,7;0,6;0,7;0,5;0,4;0,4;0,4;0,6;;
R53 Bretagne;1,2;0,9;1,1;0,8;0,6;1,0;0,7;0,4;0,5;0,3;0,3;0,4;0,5;;
R54 Poitou-Charentes;1,2;1,6;1,7;0,8;1,4;0,8;1,0;1,0;1,0;0,6;0,5;0,6;0,5;;
R72 Aquitaine;1,6;2,0;2,3;2,1;2,0;1,5;1,3;1,4;1,4;1,1;1,1;0,8;0,5;;
R73 Midi-Pyrénées;1,1;1,3;1,2;1,2;1,0;1,0;1,2;0,6;0,9;0,7;0,5;0,3;0,5;;
R74 Limousin;2,4;1,8;1,3;0,7;0,8;1,0;0,3;0,4;0,3;0,5;0,1;0,3;0,3;;
R82 Rhône-Alpes;1,0;0,6;1,0;0,9;0,5;1,0;0,7;0,7;0,8;0,7;0,4;0,4;0,4;;
R83 Auvergne;0,5;1,1;1,1;0,8;0,4;0,8;0,7;0,7;0,7;0,4;0,4;0,4;0,4;;
R91 Languedoc-Roussillon;3,0;2,3;2,2;2,1;2,2;2,0;2,0;1,7;1,7;0,9;0,9;0,9;0,7;;
R93 Provence-Alpes-Côte d'Azur;3,4;3,5;4,0;3,2;3,3;2,9;2,6;2,4;1,9;1,6;1,1;1,1;0,9;;
R94 Corse;1,5;2,2;2,2;1,4;1,4;2,1;1,0;2,0;0,7;1,3;0,3;1,6;1,3;;
ROM Départements d'Outre-Mer;3,2;6,9;5,2;5,4;5,1;5,0;4,4;3,6;2,8;2,8;2,2;2,0;2,0;;
;
Eco-Santé France, Régions & Départements - Mise à jour : Avril 2016;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA;
